timestamp,request_type,node,key,latency_ms,stale,returned_version,latest_version,interval_ms,status_code
1775116758.607708,read,http://localhost:8080,k1,2.3882389068603516,False,,,,404
1775116758.607782,read,http://localhost:8082,k3,1.8720626831054688,False,,,,404
1775116758.6082392,read,http://localhost:8080,k2,1.5711784362792969,False,,,,404
1775116758.608371,read,http://localhost:8084,k4,0.5738735198974609,False,,,,404
1775116758.608449,read,http://localhost:8081,k4,0.5481243133544922,False,,,,404
1775116758.61308,read,http://localhost:8083,k2,2.2819042205810547,False,,,,404
1775116758.613439,read,http://localhost:8083,k2,0.5609989166259766,False,,,,404
1775116758.614964,read,http://localhost:8083,k3,3.8988590240478516,False,,,,404
1775116758.615422,read,http://localhost:8084,k3,0.6690025329589844,False,,,,404
1775116758.6163268,read,http://localhost:8081,k1,0.6651878356933594,False,,,,404
1775116758.616399,read,http://localhost:8081,k3,0.6480216979980469,False,,,,404
1775116758.616912,read,http://localhost:8082,k1,0.4971027374267578,False,,,,404
1775116758.617151,read,http://localhost:8081,k3,0.5979537963867188,False,,,,404
1775116758.6175182,read,http://localhost:8084,k4,0.5900859832763672,False,,,,404
1775116758.6179671,read,http://localhost:8081,k5,0.5979537963867188,False,,,,404
1775116758.6180348,read,http://localhost:8084,k2,1.3980865478515625,False,,,,404
1775116758.618541,read,http://localhost:8083,k1,0.492095947265625,False,,,,404
1775116758.62111,read,http://localhost:8081,k1,0.7581710815429688,False,,,,404
1775116758.62174,read,http://localhost:8083,k1,0.7910728454589844,False,,,,404
1775116758.6238568,read,http://localhost:8080,k3,0.7941722869873047,False,,,,404
1775116758.624786,read,http://localhost:8084,k4,0.6477832794189453,False,,,,404
1775116758.626522,read,http://localhost:8082,k4,1.7158985137939453,False,,,,404
1775116758.627081,read,http://localhost:8081,k2,2.0570755004882812,False,,,,404
1775116758.6271539,read,http://localhost:8084,k4,3.520965576171875,False,,,,404
1775116758.6276789,read,http://localhost:8083,k5,1.1379718780517578,False,,,,404
1775116758.627777,read,http://localhost:8082,k1,0.8950233459472656,False,,,,404
1775116758.627866,read,http://localhost:8080,k5,3.386259078979492,False,,,,404
1775116758.6282198,read,http://localhost:8080,k1,0.9002685546875,False,,,,404
